Year;Month;Day;Time;Price_1
2019;1;22;19;68.12
2019;1;22;20;69.56
2019;1;22;21;70.1
2019;1;22;22;68.71
2019;1;22;23;66.52
2019;1;22;24;53.02
2019;1;23;1;51.57
2019;1;23;2;51.0
2019;1;23;3;50.0
2019;1;23;4;49.56
2019;1;23;5;49.05
2019;1;23;6;49.49
2019;1;23;7;50.41
2019;1;23;8;63.0
2019;1;23;9;66.58
2019;1;23;10;67.31
2019;1;23;11;67.27
2019;1;23;12;66.96
2019;1;23;13;66.16
2019;1;23;14;65.04
2019;1;23;15;60.45
2019;1;23;16;58.99
2019;1;23;17;59.88
2019;1;23;18;63.93
2019;1;23;19;66.96
2019;1;23;20;68.07
2019;1;23;21;68.89
2019;1;23;22;68.4
2019;1;23;23;66.52
2019;1;23;24;52.28
2019;1;24;1;50.91
2019;1;24;2;50.19
2019;1;24;3;49.56
2019;1;24;4;49.05
2019;1;24;5;49.24
2019;1;24;6;50.0
2019;1;24;7;50.55
2019;1;24;8;61.3
2019;1;24;9;66.67
2019;1;24;10;67.85
2019;1;24;11;68.01
2019;1;24;12;67.24
2019;1;24;13;65.83
2019;1;24;14;64.23
2019;1;24;15;60.0
2019;1;24;16;58.61
2019;1;24;17;60.45
2019;1;24;18;65.8
2019;1;24;19;68.36
2019;1;24;20;70.0
2019;1;24;21;70.13
2019;1;24;22;69.71
2019;1;24;23;68.01
2019;1;24;24;63.34
2019;1;25;1;52.39
2019;1;25;2;52.55
2019;1;25;3;51.97
2019;1;25;4;51.77
2019;1;25;5;51.78
2019;1;25;6;52.15
2019;1;25;7;52.55
2019;1;25;8;65.01
2019;1;25;9;68.25
2019;1;25;10;69.08
2019;1;25;11;68.77
2019;1;25;12;68.25
2019;1;25;13;67.57
2019;1;25;14;66.96
2019;1;25;15;67.57
2019;1;25;16;68.01
2019;1;25;17;68.16
2019;1;25;18;68.01
2019;1;25;19;68.77
2019;1;25;20;69.69
2019;1;25;21;68.16
2019;1;25;22;67.57
2019;1;25;23;65.68
2019;1;25;24;59.99
2019;1;26;1;66.6
2019;1;26;2;64.72
2019;1;26;3;53.96
2019;1;26;4;51.5
2019;1;26;5;51.5
2019;1;26;6;52.44
2019;1;26;7;54.47
2019;1;26;8;60.0
2019;1;26;9;63.75
2019;1;26;10;67.01
2019;1;26;11;68.4
2019;1;26;12;68.01
2019;1;26;13;68.01
2019;1;26;14;68.16
2019;1;26;15;68.17
2019;1;26;16;68.01
2019;1;26;17;67.97
2019;1;26;18;67.78
2019;1;26;19;68.07
2019;1;26;20;68.5
2019;1;26;21;68.25
2019;1;26;22;66.5
2019;1;26;23;60.07
2019;1;26;24;54.12
2019;1;27;1;67.97
2019;1;27;2;49.51
2019;1;27;3;47.47
2019;1;27;4;44.56
2019;1;27;5;43.06
2019;1;27;6;42.01
2019;1;27;7;41.1
2019;1;27;8;41.1
2019;1;27;9;41.1
2019;1;27;10;41.8
2019;1;27;11;44.63
2019;1;27;12;47.23
2019;1;27;13;47.47
2019;1;27;14;49.01
2019;1;27;15;46.88
2019;1;27;16;45.1
2019;1;27;17;46.88
2019;1;27;18;47.47
2019;1;27;19;52.64
2019;1;27;20;67.69
2019;1;27;21;68.17
2019;1;27;22;68.17
2019;1;27;23;68.01
2019;1;27;24;67.67
2019;1;28;1;49.01
2019;1;28;2;45.1
2019;1;28;3;43.81
2019;1;28;4;43.06
2019;1;28;5;43.06
2019;1;28;6;43.06
2019;1;28;7;48.35
2019;1;28;8;64.04
2019;1;28;9;65.1
2019;1;28;10;65.0
2019;1;28;11;63.96
2019;1;28;12;57.44
2019;1;28;13;57.97
2019;1;28;14;54.95
2019;1;28;15;52.3
2019;1;28;16;51.49
2019;1;28;17;53.97
2019;1;28;18;62.38
2019;1;28;19;68.45
2019;1;28;20;70.01
2019;1;28;21;68.65
2019;1;28;22;68.77
2019;1;28;23;68.74
2019;1;28;24;68.77
2019;1;29;1;66.55
2019;1;29;2;65.87
2019;1;29;3;65.1
2019;1;29;4;53.95
2019;1;29;5;52.33
2019;1;29;6;52.33
2019;1;29;7;56.91
2019;1;29;8;66.64
2019;1;29;9;67.83
2019;1;29;10;68.07
2019;1;29;11;67.78
2019;1;29;12;66.58
2019;1;29;13;64.99
2019;1;29;14;62.65
2019;1;29;15;57.51
2019;1;29;16;57.42
2019;1;29;17;59.62
2019;1;29;18;64.07
2019;1;29;19;65.53
2019;1;29;20;67.67
2019;1;29;21;65.84
2019;1;29;22;63.05
2019;1;29;23;62.05
2019;1;29;24;65.1
2019;1;30;1;50.05
2019;1;30;2;53.97
2019;1;30;3;53.93
2019;1;30;4;51.05
2019;1;30;5;53.92
2019;1;30;6;50.05
2019;1;30;7;52.44
2019;1;30;8;64.99
2019;1;30;9;68.17
2019;1;30;10;68.65
2019;1;30;11;68.07
2019;1;30;12;68.0
2019;1;30;13;65.48
2019;1;30;14;63.65
2019;1;30;15;60.47
2019;1;30;16;57.88
2019;1;30;17;57.72
2019;1;30;18;61.6
2019;1;30;19;64.01
2019;1;30;20;66.0
2019;1;30;21;65.24
2019;1;30;22;60.77
2019;1;30;23;57.38
2019;1;30;24;49.07
2019;1;31;1;48.08
2019;1;31;2;47.33
2019;1;31;3;45.5
2019;1;31;4;44.5
2019;1;31;5;44.1
2019;1;31;6;45.0
2019;1;31;7;46.07
2019;1;31;8;53.89
2019;1;31;9;63.75
2019;1;31;10;65.0
2019;1;31;11;64.93
2019;1;31;12;64.07
2019;1;31;13;62.01
2019;1;31;14;60.1
2019;1;31;15;54.48
2019;1;31;16;53.95
2019;1;31;17;54.78
2019;1;31;18;58.0
2019;1;31;19;63.3
2019;1;31;20;65.4
2019;1;31;21;59.9
2019;1;31;22;52.84
2019;1;31;23;51.36
2019;1;31;24;48.8
