Municipio,Potencia,Grupo,Fecha,Provincia,__mun_key__,LATITUD_ETRS89,LONGITUD_ETRS89
Fuendetodos,54.0,Solar,2008-04-30,Zaragoza,fuendetodos,"41,34240218","-0,95939508"
SÃ¡daba,100.0,Solar,2008-05-02,Zaragoza,sa!daba,,
Ejea de los Caballeros,100.0,Solar,2008-03-25,Zaragoza,ejea caballeros,"42,126751","-1,138547"
Ejea de los Caballeros,100.0,Solar,2008-03-25,Zaragoza,ejea caballeros,"42,126751","-1,138547"
Ejea de los Caballeros,100.0,Solar,2008-03-25,Zaragoza,ejea caballeros,"42,126751","-1,138547"
BÃ¡rboles,100.0,Solar,2008-04-09,Zaragoza,ba!rboles,,
Valle de Lierp,100.0,Solar,2008-04-07,Huesca,valle lierp,"42,37931725","0,47702459"
Valle de Lierp,100.0,Solar,2008-04-08,Huesca,valle lierp,"42,37931725","0,47702459"
BÃ¡rboles,100.0,Solar,2008-03-31,Zaragoza,ba!rboles,,
Ejea de los Caballeros,100.0,Solar,2008-04-14,Zaragoza,ejea caballeros,"42,126751","-1,138547"
Ejea de los Caballeros,100.0,Solar,2008-04-24,Zaragoza,ejea caballeros,"42,126751","-1,138547"
AlcaÃ±iz,100.0,Solar,2008-04-15,Teruel,alcaa+ iz,,
Jaca,65.0,Solar,2008-04-17,Huesca,jaca,"42,57073634","-0,54955746"
Santa Eulalia,5.0,Solar,2008-04-22,Teruel,santa eulalia,"40,56501265","-1,31215335"
Cella,20.0,Solar,2008-05-09,Teruel,cella,"40,45488538","-1,28767198"
Cella,10.0,Solar,2008-05-09,Teruel,cella,"40,45488538","-1,28767198"
Cella,10.0,Solar,2008-05-09,Teruel,cella,"40,45488538","-1,28767198"
Cella,10.0,Solar,2008-05-09,Teruel,cella,"40,45488538","-1,28767198"
Cella,10.0,Solar,2008-05-09,Teruel,cella,"40,45488538","-1,28767198"
Cella,10.0,Solar,2008-05-09,Teruel,cella,"40,45488538","-1,28767198"
Cella,10.0,Solar,2008-05-09,Teruel,cella,"40,45488538","-1,28767198"
Huesca,80.0,Solar,2008-05-26,Huesca,huesca,"42,14062739","-0,40842276"
Gurrea de GÃ¡llego,2.5,Solar,2008-05-23,Huesca,gurrea ga!llego,,
