Year,Month,Day,Pot_Eolica_GW
2026,11,21,42.2294186
2026,11,22,42.2294186
2026,11,23,42.2294186
2026,11,24,42.2294186
2026,11,25,42.2294186
2026,11,26,42.2294186
2026,11,27,42.2294186
2026,11,28,42.2294186
2026,11,29,42.2294186
2026,11,30,42.2294186
2026,12,1,42.2294186
2026,12,2,42.2294186
2026,12,3,42.2294186
2026,12,4,42.2294186
2026,12,5,42.2294186
2026,12,6,42.2294186
2026,12,7,42.2294186
2026,12,8,42.2294186
2026,12,9,42.2294186
2026,12,10,42.2294186
2026,12,11,42.2294186
2026,12,12,42.2294186
2026,12,13,42.2294186
2026,12,14,42.2294186
2026,12,15,42.2294186
2026,12,16,42.2294186
2026,12,17,42.2294186
2026,12,18,42.2294186
2026,12,19,42.2294186
2026,12,20,42.2294186
2026,12,21,42.2294186
2026,12,22,42.2294186
2026,12,23,42.2294186
2026,12,24,42.2294186
2026,12,25,42.2294186
2026,12,26,42.2294186
2026,12,27,42.2294186
2026,12,28,42.2294186
2026,12,29,42.2294186
2026,12,30,42.2294186
2026,12,31,42.2294186
2027,1,1,47.1720639
2027,1,2,47.1720639
2027,1,3,47.1720639
2027,1,4,47.1720639
2027,1,5,47.1720639
2027,1,6,47.1720639
2027,1,7,47.1720639
2027,1,8,47.1720639
2027,1,9,47.1720639
2027,1,10,47.1720639
2027,1,11,47.1720639
2027,1,12,47.1720639
2027,1,13,47.1720639
2027,1,14,47.1720639
2027,1,15,47.1720639
2027,1,16,47.1720639
2027,1,17,47.1720639
2027,1,18,47.1720639
2027,1,19,47.1720639
2027,1,20,47.1720639
